index_id,us_index
Asia ex Japan,0
All World,0
MSCI ACWI ex-US Index,0
MSCI All Argentina 25/50 Index,0
MSCI China All Shares Index,0
China Technology Sector,0
MSCI ACWI Low Carbon Target Index,0
Emerging Markets,0
MSCI Norway IMI 25/50 Index,0
Russia,0
Australia,0
Canada,0
Germany,0
Hong Kong,0
Japan,0
Switzerland,0
France,0
Taiwan,0
UK,0
Mexico,0
Korea,0
Brazil,0
South Africa,0
Eurozone,0
US Internet Sector,1
Europe,0
S&P Global Infrastructure Index,0
EAFE,0
S&P Midcap 400 Index,1
S&P Midcap 400 Value Index,1
S&P Midcap 400 Growth Index,1
S&P SmallCap 600 Index,1
S&P Smallcap 600 Value Index,1
S&P Smallcap 600 Growth Index,1
US Defense Sector,1
US Total Market,1
S&P 500 Value Index,1
S&P 500 Index,1
S&P 500 Growth Index,1
Russell 1000 Index,1
Russell 1000 Value Index,1
Russell 1000 Growth Index,1
Russell 2000 Index,1
Russell 2000 Value Index,1
Russell 2000 Growth Index,1
Russell 3000 Index,1
JPX-Nikkei 400 Net Total Return Index,0
S&P 500 Dividend Aristocrats Index,1
Preferred Shares,1
NASDAQ-100 Equal Weighted Index,1
EAFE Small Cap,0
US Small Caps,1
US Materials Sector,1
Consumer Discretionary Sector,1
Consumer Staples Sector,1
Energy Sector,1
All World Ex US,0
US Financials Sector,1
US Technology Sector,1
US Healthcare Sector,1
US Industrials Sector,1
US Communications Sector,1
US Utilities Sector,1
