ticker,index_id,d_OwnIndex,benchmark,licencing,perfect_match
ACWI,All World,0,MSCI ACWI Index ,1,0
VT,All World,0,FTSE Global All Cap Index,1,0
VEU,All World Ex US,0,,,
VXUS,All World Ex US,0,,,
AAXJ,Asia ex Japan,0,,,
EWA,Australia,0,,,
FLAU,Australia,0,,,
EWZ,Brazil,0,,,
FLBR,Brazil,0,,,
EWC,Canada,0,,,
CQQQ,China Technology Sector,1,,,
KWEB,China Technology Sector,1,,,
VCR,Consumer Discretionary Sector,1,,,
XLY,Consumer Discretionary Sector,1,,,
VDC,Consumer Staples Sector,1,,,
XLP,Consumer Staples Sector,1,,,
IEFA,EAFE,0,,,
VEA,EAFE,0,,,
SCHC,EAFE Small Cap,0,,,
SCZ,EAFE Small Cap,0,,,
EEM,Emerging Markets,0,,,
VWO,Emerging Markets,0,,,
VDE,Energy Sector,1,,,
XLE,Energy Sector,1,,,
FEZ,Europe,1,,,
IEV,Europe,1,,,
EZU,Eurozone,0,,,
VGK,Eurozone,0,,,
EWQ,France,0,,,
EWG,Germany,0,,,
ZDEU,Germany,0,,,
EWH,Hong Kong,0,,,
FLHK,Hong Kong,0,,,
EWJ,Japan,0,,,
JPN,JPX-Nikkei 400 Net Total Return Index,1,,,
JPXN,JPX-Nikkei 400 Net Total Return Index,1,,,
EWY,Korea,0,,,
FLKR,Korea,0,,,
EWW,Mexico,0,,,
ACWX,MSCI ACWI ex-US Index,0,,,
CWI,MSCI ACWI ex-US Index,0,,,
CRBN,MSCI ACWI Low Carbon Target Index,0,,,
LOWC,MSCI ACWI Low Carbon Target Index,0,,,
AGT,MSCI All Argentina 25/50 Index,0,,,
ARGT,MSCI All Argentina 25/50 Index,0,,,
CN,MSCI China All Shares Index,0,,,
ENOR,MSCI Norway IMI 25/50 Index,0,,,
NORW,MSCI Norway IMI 25/50 Index,0,,,
QQEW,NASDAQ-100 Equal Weighted Index,0,,,
QQQE,NASDAQ-100 Equal Weighted Index,0,,,
PFF,Preferred Shares,1,,,
PGX,Preferred Shares,1,,,
IWF,Russell 1000 Growth Index,0,,,
VONG,Russell 1000 Growth Index,0,,,
IWB,Russell 1000 Index,0,,,
VONE,Russell 1000 Index,0,,,
IWD,Russell 1000 Value Index,0,,,
VONV,Russell 1000 Value Index,0,,,
IWO,Russell 2000 Growth Index,0,,,
VTWG,Russell 2000 Growth Index,0,,,
IWM,Russell 2000 Index,0,,,
VTWO,Russell 2000 Index,0,,,
IWN,Russell 2000 Value Index,0,,,
VTWV,Russell 2000 Value Index,0,,,
IWV,Russell 3000 Index,0,,,
VTHR,Russell 3000 Index,0,,,
ERUS,Russia,0,,,
RSX,Russia,0,,,
NOBL,S&P 500 Dividend Aristocrats Index,0,,,
IVW,S&P 500 Growth Index,0,,,
SPYG,S&P 500 Growth Index,0,,,
VOOG,S&P 500 Growth Index,0,,,
IVV,S&P 500 Index,0,,,
SPY,S&P 500 Index,0,,,
IVE,S&P 500 Value Index,0,,,
SPYV,S&P 500 Value Index,0,,,
VOOV,S&P 500 Value Index,0,,,
GII,S&P Global Infrastructure Index,0,,,
IGF,S&P Global Infrastructure Index,0,,,
IJK,S&P Midcap 400 Growth Index,0,,,
IVOG,S&P Midcap 400 Growth Index,0,,,
MDYG,S&P Midcap 400 Growth Index,0,,,
IJH,S&P Midcap 400 Index,0,,,
MDY,S&P Midcap 400 Index,0,,,
IJJ,S&P Midcap 400 Value Index,0,,,
IVOV,S&P Midcap 400 Value Index,0,,,
MDYV,S&P Midcap 400 Value Index,0,,,
IJT,S&P Smallcap 600 Growth Index,0,,,
SLYG,S&P Smallcap 600 Growth Index,0,,,
VIOG,S&P Smallcap 600 Growth Index,0,,,
IJR,S&P SmallCap 600 Index,0,,,
SLY,S&P SmallCap 600 Index,0,,,
VIOO,S&P SmallCap 600 Index,0,,,
IJS,S&P Smallcap 600 Value Index,0,,,
SLYV,S&P Smallcap 600 Value Index,0,,,
VIOV,S&P Smallcap 600 Value Index,0,,,
EZA,South Africa,0,,,
EWL,Switzerland,0,,,
EWT,Taiwan,0,,,
EWU,UK,0,,,
FLGB,UK,0,,,
VOX,US Communications Sector,1,,,
ITA,US Defense Sector,1,,,
PPA,US Defense Sector,1,,,
VFH,US Financials Sector,1,,,
XLF,US Financials Sector,1,,,
VHT,US Healthcare Sector,1,,,
XLV,US Healthcare Sector,1,,,
VIS,US Industrials Sector,1,,,
XLI,US Industrials Sector,1,,,
FDN,US Internet Sector,0,,,
PNQI,US Internet Sector,0,,,
VAW,US Materials Sector,1,,,
XLB,US Materials Sector,1,,,
SMMD,US Small Caps,0,,,
VXF,US Small Caps,0,,,
VGT,US Technology Sector,1,,,
XLK,US Technology Sector,1,,,
ITOT,US Total Market,0,,,
VTI,US Total Market,0,,,
VPU,US Utilities Sector,1,,,
XLU,US Utilities Sector,1,,,
